learning_rate iterations train_mse test_mse runtime evals gens nodes_amnt
1e-06 10 22283.59156773359 29272.237667868318 21.308371782302856 7694 14 9
1e-06 10 5964.530909633325 5298.837405192082 21.073126077651978 8720 16 13
1e-06 10 19524.84166848223 24605.184342649416 21.85835337638855 7181 13 25
1e-06 10 6561.69589141938 6190.8542891802235 21.042935132980347 8720 16 15
1e-06 10 26573.89560910362 28788.744238386 20.66389751434326 10772 20 5
1e-06 10 20877.094724850427 17294.788080274946 21.262110710144043 8720 16 7
1e-06 10 23915.45199590431 20190.252874900576 20.108213424682617 10259 19 9
1e-06 11 19157.008097821017 19656.764014331922 20.1651611328125 6155 11 25
1e-06 11 6080.673250997605 4352.353900653065 22.29058575630188 6668 12 25
1e-06 11 26895.366831199328 27181.031430329152 20.644192695617676 12824 24 3
1e-06 11 26830.804627010046 34530.38445227273 20.30096197128296 29753 57 1
1e-06 11 26803.367907926 24299.43539121349 22.190342664718628 7694 14 15
1e-06 11 21495.54147758302 26944.07693415084 20.662338733673096 9233 17 9
1e-06 11 26551.21549908418 26726.527545244353 20.410061359405518 13337 25 3
1e-06 11 24879.862554340096 27094.176815571973 20.620516538619995 7181 13 7
1e-06 11 26963.192791888676 22660.71577973156 20.886964797973633 7181 13 9
1e-06 11 24387.163262024707 20622.939554914796 20.53535795211792 8207 15 11
1e-06 12 25516.969557335207 26064.489008969165 21.662532329559326 6668 12 13
1e-06 12 28291.35300188413 22090.363684 20.204219341278076 27701 53 1
1e-06 12 25921.156762321494 26192.525749096883 20.438588619232178 11798 22 3
1e-06 12 14224.180880862119 19644.318873905446 23.109200954437256 6155 11 13
1e-06 12 20367.539710609926 18177.49003535275 20.438422441482544 6668 12 9
1e-06 12 26946.56779479397 33308.805217818175 20.335819244384766 27701 53 1
1e-06 12 23925.728553038858 24058.681291996978 21.145399570465088 7694 14 7
1e-06 12 22584.548715647787 24804.920513513356 21.294151544570923 7694 14 13
1e-06 12 26713.966442472967 22437.550590443647 20.274174690246582 6155 11 15
1e-06 12 27987.346263698488 23929.966324 20.056525468826294 28214 54 1
1e-06 13 26869.800936051022 27430.295379686195 21.796574592590332 8207 15 9
1e-06 13 6061.7596238911765 4446.627358037587 22.06241774559021 7694 14 13
1e-06 13 26278.496682962552 26554.977160296097 21.34190058708191 8207 15 9
1e-06 13 25251.68261717786 32713.406686644706 20.34836983680725 7181 13 13
1e-06 13 24725.695953988 22316.701652982956 20.352694988250732 7181 13 7
1e-06 13 10526.389333090632 13398.907770466 21.38210654258728 7181 13 9
1e-06 13 24253.82379529316 24391.20573884535 20.903563737869263 8207 15 11
1e-06 13 25711.39012651372 27927.8249594635 20.112730026245117 11285 21 3
1e-06 13 26501.287125709856 22248.99821233363 20.80207586288452 12311 23 3
1e-06 13 5938.4495393708685 5348.3021983541985 21.409610986709595 7694 14 13
